Theme,Questions,Answer,Hindi,Marathi,References,llm_response,bleu_score,meteor_score,rouge_l_score,perplexity,linguistic_quality_score,language,sbert_similarity,vyakyarth_similarity,distiluse_similarity,labse_similarity,cohere_similarity,voyage_similarity,openai_similarity,bert_score_f1,semantic_similarity,medical_quality_score,medical_quality_score_2
reproductive and sexual health,"1. If I had painful periods in the past does it affect my child?
","If you had painful periods in the past, it may or may not affect your pregnancy or child. Painful periods can be caused by conditions like endometriosis, fibroids, infections, or adenomyosis, which may increase the risk of pregnancy complications such as miscarriage, preterm birth, or low birth weight in some women. It’s important to share your menstrual history with your doctor so they can check for these conditions and provide the right care. Most women with painful periods still have healthy pregnancies, but regular checkups are important.","यदि आपको पहले भी दर्दनाक मासिक धर्म हुआ है, तो यह आपकी गर्भावस्था या बच्चे को प्रभावित कर सकता है या नहीं भी कर सकता है। दर्दनाक मासिक धर्म एंडोमेट्रियोसिस, फाइब्रॉएड, संक्रमण या एडेनोमायसिस जैसी स्थितियों के कारण हो सकता है, जो कुछ महिलाओं में गर्भपात, समय से पहले जन्म या कम वजन वाले बच्चे जैसी गर्भावस्था जटिलताओं के जोखिम को बढ़ा सकता है। अपने मासिक धर्म के इतिहास को अपने डॉक्टर के साथ साझा करना महत्वपूर्ण है ताकि वे इन स्थितियों की जांच कर सकें और सही देखभाल प्रदान कर सकें। दर्दनाक मासिक धर्म वाली अधिकांश महिलाओं की गर्भावस्था अभी भी स्वस्थ है, लेकिन नियमित जांच महत्वपूर्ण है।","जर तुम्हाला पूर्वी वेदनादायक मासिक पाळी आली असेल, तर त्याचा तुमच्या गर्भधारणेवर किंवा बाळावर परिणाम होऊ शकतो किंवा होऊ शकत नाही. वेदनादायक मासिक पाळीमुळे गर्भाशयाचे अस्तर सारखी ऊती वाढणे, गर्भाशयतील गाठ तयार होणे , संसर्ग किंवा गर्भाशयाच्या स्नायूंच्या भिंतीमध्ये गर्भाशयाच्या अस्तर ऊतीचे वाढणे . इ प्रारच्या समस्या वेदनदायी मासिक पळीमुळे होऊ शकते, ज्यामुळे काही महिलांमध्ये गर्भपात, मुदतपूर्व जन्म किंवा कमी वजन यासारख्या गर्भधारणेच्या गुंतागुंतीचा धोका वाढू शकतो. तुमच्या मासिक पाळीचा इतिहास तुमच्या डॉक्टरांशी संभाषण करणे महत्वाचे आहे जेणेकरून ते या परिस्थिती हाताळू शकतात  आणि योग्य काळजी घेण्याचा सल्ला देऊ शकतील. वेदनादायक मासिक पाळी असलेल्या बहुतेक महिलांना अजूनही निरोगी गर्भधारणा होते, परंतु नियमित तपासणी करणे महत्वाचे आहे.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11351718/      https://pmc.ncbi.nlm.nih.gov/articles/PMC9187594/  https://flo.health/pregnancy/pregnancy-health/complications/adenomyosis-and-pregnancy  ,"Painful periods, also known as dysmenorrhea, typically don't directly affect your child's health once you're pregnant. However, it's important to discuss your medical history, including any past issues with painful periods, during your prenatal care visits. Your doctor can provide reassurance and address any concerns you might have. Remember, each pregnancy is unique, and open communication with your healthcare provider is key.",0.0224690278713531,0.216437724935066,0.232258064516129,17.383420944213867,0.157054939107516,en,0.88512874,0.82339406,0.75875926,0.70081013,0.8646483816750805,0.9217350161404012,0.808009881586616,0.8759223222732544,0.8298009815624159,1.0,0.8
reproductive and sexual health,1. Do my irregular periods affect my pregnancy and child?,"Irregular periods usually do not affect pregnancy or your child unless there is an underlying medical problem. If the cause is something like PCOS, thyroid disease, or other hormonal or structural issues, there may be a higher risk of complications such as pregnancy-induced hypertension, preterm birth, or low birth weight. Finding and treating the cause of irregular periods helps improve pregnancy outcomes, so always discuss your cycle with your doctor before and during pregnancy.","अनियमित मासिक धर्म आमतौर पर गर्भावस्था या आपके बच्चे को प्रभावित नहीं करते हैं जब तक कि कोई अंतर्निहित चिकित्सा समस्या न हो। यदि इसका कारण पीसीओएस, थायरॉयड रोग या अन्य हार्मोनल या संरचनात्मक समस्याएं हैं, तो गर्भावस्था से प्रेरित उच्च रक्तचाप, समय से पहले जन्म या कम वजन वाले जन्म जैसी जटिलताओं का अधिक जोखिम हो सकता है। अनियमित मासिक धर्म के कारण का पता लगाना और उसका इलाज करना गर्भावस्था के परिणामों को बेहतर बनाने में मदद करता है, इसलिए गर्भावस्था से पहले और उसके दौरान हमेशा अपने डॉक्टर से अपने चक्र के बारे में चर्चा करें।","जोपर्यंत शरीराच्या अंतर्गत वैद्यकीय समस्या उद्भवत नाही तो पर्यन्त अनियमित मासिक पाळीचा गर्भधारणेवर किंवा होणाऱ्या बाळावर कोणताही परिणाम होत नाही. ह्याचे  कारण PCOS, थायरॉईड रोग किंवा इतर हार्मोनल किंवा संरचनात्मक समस्या असतील, तर गर्भधारणेमुळे होणारे उच्च रक्तदाब, मुदतपूर्व जन्म किंवा वजन कमी होणे यासारख्या अंजारांचा  धोका होऊ शकतो. अनियमित मासिक पाळीचे कारण शोधणे आणि त्यावर उपचार करणे गर्भधारणेचे परिणाम सुधारण्यास मदत करते. म्हणून गर्भधारणेपूर्वी आणि मासिक पाळीच्या दरम्यान तुमच्या चक्राबद्दल नेहमीच तुमच्या डॉक्टरांशी चर्चा करा.",https://www.medicalnewstoday.com/articles/178635   https://www.healthline.com/health/pregnancy/irregular-periods-and-pregnancy     https://pmc.ncbi.nlm.nih.gov/articles/PMC10733621/  ,"Irregular periods can sometimes be a sign of hormonal imbalances, which could potentially affect your fertility and pregnancy. However, many women with irregular cycles do conceive and have healthy pregnancies. If you're trying to conceive, it's a good idea to consult your doctor, who can offer guidance and, if necessary, help regulate your cycles. Remember, each body is unique.",0.0132448477093308,0.1953601953601953,0.1617647058823529,15.054210662841797,0.1234565829839597,en,0.87919694,0.75985575,0.8097655,0.64221644,0.8238017562453355,0.9290258715716772,0.7896154661395072,0.8775121569633484,0.81387373771531,0.4116666666666667,0.775
reproductive and sexual health,1. My friends say painful periods become normal after childbirth is this true?,"It is true that, for some women, painful periods (dysmenorrhea) may become less severe or even normal after childbirth, but this does not happen for everyone. Some women continue to have painful periods, especially if the pain is caused by conditions like endometriosis or fibroids. If you still have severe pain after childbirth, it is important to talk to your doctor for proper advice and care.","यह सच है कि कुछ महिलाओं के लिए प्रसव के बाद दर्दनाक मासिक धर्म (डिसमेनोरिया) कम गंभीर या सामान्य हो सकता है, लेकिन ऐसा सभी के साथ नहीं होता है। कुछ महिलाओं को दर्दनाक मासिक धर्म जारी रहता है, खासकर अगर दर्द एंडोमेट्रियोसिस या फाइब्रॉएड जैसी स्थितियों के कारण होता है। यदि आपको प्रसव के बाद भी गंभीर दर्द होता है, तो उचित सलाह और देखभाल के लिए अपने डॉक्टर से बात करना महत्वपूर्ण है।","हे खरे आहे की, काही महिलांमध्ये, बाळंतपणानंतर वेदनादायक मासिक पाळी (डिस्मेनोरिया) कमी, तीव्र किंवा अगदी सामान्य होऊ शकते, परंतु प्रत्येकाच्या बाबतीत असे घडत नाही. काही महिलांना वेदनादायक मासिक पाळी येत राहतात, विशेषतः जर शरीरात  वेदना अस्तर सारखी ऊती वाढणे( एंडोमेट्रिओसिस) किंवा गर्भाशयतील गाठ तयार होणे(फायब्रॉइड्स) सारख्या आजारांमुळे होतो. बाळंतपणानंतरही तुम्हाला तीव्र वेदना होत असतील, तर योग्य सल्ला आणि काळजी घेण्यासाठी तुमच्या डॉक्टरांशी बोलणे महत्वाचे आहे.","Anemia Control Guidelines, Postpartum Care","It's common for women to experience changes in their menstrual cycles after giving birth, but it doesn't necessarily mean that painful periods will become the new norm. Postpartum periods may be heavier or more irregular at first, and some women might notice an increase in cramps. However, this usually settles down over time. If you're concerned about persistent painful periods, it's best to consult your doctor.",0.0362937267663668,0.3427746750794208,0.2481751824817518,13.577019691467283,0.2090811947758465,en,0.85367423,0.81383365,0.8211663,0.71202356,0.8467060415472656,0.9184421167293854,0.7774690086236069,0.8928979635238647,0.8295265988587861,0.6525974025974026,0.65
reproductive and sexual health,1. Will my irregular periods become regular after childbirth?,"It's normal to have irregular periods after childbirth, especially if breastfeeding. Your body needs time to recover. Cycles may remain irregular for 6-12 months. If periods don't return within 3 months after stopping breastfeeding, consult your healthcare worker. Keep track of your cycle dates. Don't use period pain as a sign of health problems unless severe.","प्रसव के बाद अनियमित पीरियड्स होना सामान्य है, खासकर स्तनपान कराने वाली माताओं में। शरीर को ठीक होने में समय चाहिए। 6-12 महीने तक चक्र अनियमित रह सकता है। स्तनपान बंद करने के 3 महीने बाद भी पीरियड्स न आएं तो डॉक्टर से सलाह लें। अपने मासिक चक्र की तारीखों को नोट करें। गंभीर दर्द होने पर ही स्वास्थ्य समस्या का संकेत मानें।","प्रसवानंतर अनियमित पाळी येणे सामान्य आहे, विशेषत: स्तनपान करत असताना. शरीराला बरे होण्यासाठी वेळ लागतो. ६-१२ महिन्यांपर्यंत चक्र अनियमित राहू शकते. स्तनपान बंद केल्यानंतर ३ महिन्यांनंतरही पाळी पुन्हा सुरू झाल्यास आरोग्य सेवकांचा सल्ला घ्या. आपल्या चक्राच्या तारखा नोंदवा. जोरदार वेदना झाल्याशिवाय त्याला आरोग्य समस्या आहेत अस समजू नका.","JSY Guidelines, Delivery Preparation","Many women experience irregular periods after childbirth, especially if they are breastfeeding. This is due to hormonal changes and is often temporary. However, it's important to note that every woman's body responds differently. If you're concerned about the timing or heaviness of your periods, or if they remain irregular for an extended period, it's a good idea to consult with your doctor.",0.1318746333458002,0.2989003774823567,0.2343749999999999,10.109540939331056,0.2217166702760523,en,0.8740754,0.75361204,0.774055,0.63470197,0.8951739002901812,0.95206739532952,0.8474711337621178,0.8877990245819092,0.8273694849433267,0.9,0.25
reproductive and sexual health,1. Can excessive bleeding in periods cause any problems during pregnancy or at the time of childbirth?,"Heavy periods before pregnancy don't always cause problems, but inform your doctor. They may check for anemia (low blood) which can make you tired. Eat iron-rich foods like dates and leafy greens. During pregnancy, any bleeding needs immediate medical attention. After delivery, normal bleeding lasts 4-6 weeks - if soaking >1 pad/hour, go to hospital.","गर्भावस्था से पहले भारी रक्तस्राव हमेशा समस्या नहीं होता, पर डॉक्टर को जरूर बताएं। वे एनीमिया (खून की कमी) की जांच कर सकते हैं। खजूर और हरी पत्तेदार सब्जियां खाएं। गर्भावस्था में किसी भी रक्तस्राव पर तुरंत ध्यान दें। प्रसव के बाद सामान्य रक्तस्राव 4-6 सप्ताह तक रहता है - यदि 1 घंटे में 1 से ज्यादा पैड भीगे तो अस्पताल जाएं।","गर्भधारणे  रक्तस्त्राव होणे हे  नेहमीच समस्या निर्माण करत नाही, तरी सुद्धा अशी समस्या झाल्यास त्वरित  डॉक्टरांना कळवा आणि योग्य तो उपचार घ्या. ते एनीमिया (रक्तकमतरेची) तपासणी करू शकतात. खजूर आणि पालेभाज्या भरपूर प्रमानात खा. गर्भारपणात कोणत्याही प्रारचा रक्तस्त्राव झाल्यास  लगेच लक्ष द्या. प्रसवानंतर सामान्य रक्तस्त्राव ४-६ आठवडे टिकू शकतो - प्रति तास १ पेपर पॅड भिजत असल्यास रुग्णालयात जा.","JSY Benefits, WHO Delivery Care","Excessive bleeding during periods, also known as heavy menstrual bleeding, can indeed cause concerns during pregnancy. It may increase the risk of anemia, which is low red blood cell count, and could potentially lead to complications like fatigue, shortness of breath, and in severe cases, impact the growth and development of the baby. If you've experienced heavy periods before pregnancy, it's important to discuss this with your doctor to monitor and manage any potential issues.",0.0503611686777608,0.2796937713691095,0.1470588235294117,18.04085922241211,0.159037921192094,en,0.7269145,0.729198,0.7839337,0.6619339,0.8142764280232413,0.8886697052383773,0.7779552245018224,0.8646159768104553,0.7809371870300958,0.3679487179487179,0.625
reproductive and sexual health,"1. How to know if I am required to deliver at the referral level
","You should deliver at a referral hospital if your pregnancy is high-risk or if your healthcare worker advises it due to complications. If your pregnancy is low-risk and without complications, you can safely deliver at a healthcare center or referral center, as these are equipped to manage normal deliveries. Always follow your healthcare worker’s advice, keep your hospital papers and money ready from the 8th month, and ask your ASHA worker for help with transport planning.","यदि आपकी गर्भावस्था उच्च जोखिम वाली है या यदि आपका स्वास्थ्य सेवा कर्मी जटिलताओं के कारण ऐसा करने की सलाह देता है, तो आपको रेफरल अस्पताल में प्रसव कराना चाहिए। यदि आपकी गर्भावस्था कम जोखिम वाली और जटिलताओं के बिना है, तो आप सुरक्षित रूप से स्वास्थ्य सेवा केंद्र या रेफरल केंद्र पर प्रसव करा सकती हैं, क्योंकि ये सामान्य प्रसव का प्रबंधन करने के लिए सुसज्जित हैं। हमेशा अपने स्वास्थ्य सेवा कर्मी की सलाह का पालन करें, 8वें महीने से अपने अस्पताल के कागजात और पैसे तैयार रखें, और परिवहन योजना के लिए अपने आशा कार्यकर्ता से मदद मांगें।","जर तुमची गर्भधारणा जास्त जोखीमची असेल किंवा तुमच्या आरोग्यसेवा कर्मचाऱ्याने तुमची प्रसूती गुंतागुंतीची आहे असा सल्ला दिला असेल तर तुम्ही रेफरल हॉस्पिटलमध्ये प्रसूती करावी.परंतु जर तुमची गर्भधारणा कमी जोखीमची असेल आणि गुंतागुंती नसेल तर तुम्ही आरोग्यसेवा केंद्र किंवा रेफरल सेंटरमध्ये सुरक्षितपणे प्रसूती करू शकता, कारण ते सामान्य प्रसूती व्यवस्थापित करण्यासाठी सुसज्ज आहेत. तुमच्या आरोग्यसेवा कर्मचाऱ्याच्या सल्ल्याचे नेहमी पालन करा, आठव्या महिन्यापासून तुमचे रुग्णालयाचे कागदपत्रे आणि पैसे तयार ठेवा आणि वाहतूक नियोजनासाठी तुमच्या आशा वर्करची मदत घ्या.",https://health.ucsd.edu/care/pregnancy-birth/giving-birth/low-intervention-birth/eligibility/    https://healthywa.wa.gov.au/Articles/U_Z/Your-maternity-care-options    https://kce.fgov.be/sites/default/files/2023-01/KCE_363_Referral_Low-risk_Pregnancy_Report.pdf    https://www.acog.org/clinical/clinical-guidance/obstetric-care-consensus/articles/2019/08/levels-of-maternal-care  ,"The need to deliver at a referral level (a hospital with specialized care) depends on various factors like your medical history, complications during pregnancy, or specific needs for you or the baby. Your doctor will assess these factors and recommend the appropriate place for delivery. It's crucial to attend your prenatal appointments regularly to discuss such matters. Always consult your healthcare provider for personalized advice.",0.0498880787844608,0.2302962444906317,0.2344827586206896,36.23613739013672,0.1715556939652607,en,0.7858243,0.7572714,0.74738663,0.64740163,0.8198819371775594,0.9180262325898644,0.7889462681022623,0.8783493041992188,0.7928859494976573,0.6388888888888888,0.75
symptom interpretation and triage,1. How to know if I am required to deliver at the healthcare center,"You should deliver at a healthcare center or hospital if you have any of the following: very low blood level (severe anemia), high blood pressure or fits during pregnancy, bleeding during pregnancy, baby not growing well, previous problems in pregnancy, twins or baby not in head-down position, pregnancy after cesarean, diabetes, thyroid, heart or kidney problems, too much or too little water around the baby, or if you are very young (below 18) or older (above 35). These conditions can make your pregnancy high-risk and need special care from trained doctors and nurses. Always follow your healthcare worker’s advice for a safe delivery.","यदि आपको निम्न में से कोई भी लक्षण है तो आपको स्वास्थ्य सेवा केंद्र या अस्पताल में प्रसव कराना चाहिए: बहुत कम रक्त स्तर (गंभीर एनीमिया), गर्भावस्था के दौरान उच्च रक्तचाप या दौरे, गर्भावस्था के दौरान रक्तस्राव, बच्चे का ठीक से विकास न होना, गर्भावस्था में पिछली समस्याएँ, जुड़वाँ बच्चे या बच्चे का सिर नीचे की स्थिति में न होना, सिजेरियन के बाद गर्भावस्था, मधुमेह, थायरॉयड, हृदय या गुर्दे की समस्याएँ, बच्चे के आस-पास बहुत अधिक या बहुत कम पानी होना, या यदि आप बहुत छोटी हैं (18 वर्ष से कम) या बड़ी हैं (35 वर्ष से अधिक)। ये स्थितियाँ आपकी गर्भावस्था को जोखिमपूर्ण बना सकती हैं और प्रशिक्षित डॉक्टरों और नर्सों से विशेष देखभाल की आवश्यकता होती है। सुरक्षित प्रसव के लिए हमेशा अपने स्वास्थ्य सेवा कर्मी की सलाह का पालन करें।","जर तुम्हाला खालीलपैकी कोणती ही समस्या असेल तर तुम्ही आरोग्य केंद्रात किंवा रुग्णालयात प्रसूती करावी: खूप कमी रक्त पातळी (गंभीर अशक्तपणा), गर्भधारणेदरम्यान उच्च रक्तदाब किंवा झटके, गर्भधारणेदरम्यान रक्तस्त्राव, बाळाची वाढ नीट होत नाही, गर्भधारणेदरम्यान मागील समस्या, जुळे किंवा बाळ डोके खाली स्थितीत नसणे, सिझेरियन नंतर गर्भधारणा, मधुमेह, थायरॉईड, हृदय किंवा मूत्रपिंडाच्या समस्या, बाळाभोवती खूप जास्त किंवा खूप कमी पाणी, किंवा तुम्ही खूप लहान (१८ वर्षांपेक्षा कमी) किंवा त्याहून अधिक वयाचे (३५ वर्षांपेक्षा जास्त) असाल तर. या परिस्थितीमुळे तुमची गर्भधारणा जास्त धोकादायक बनू शकते आणि प्रशिक्षित डॉक्टर आणि परिचारिकांकडून विशेष काळजी घेणे आवश्यक आहे. सुरक्षित प्रसूतीसाठी तुमच्या आरोग्यसेवा कर्मचाऱ्याच्या सल्ल्याचे नेहमीच पालन करा.",http://www.nichd.nih.gov/health/topics/high-risk/conditioninfo/factors  https://www.msdmanuals.com/professional/gynecology-and-obstetrics/antenatal-complications/overview-of-high-risk-pregnancy   https://www.healthline.com/health/pregnancy/risk-factors ,"The best way to know where you'll deliver is to discuss it with your healthcare provider. They'll consider your overall health, pregnancy progress, and any potential complications. Most women give birth at a hospital, but some with low-risk pregnancies may choose a birthing center or even plan for a home birth. Ultimately, the decision should be made based on your specific needs and preferences, always ensuring the safest outcome for you and your baby.",0.0081826138180646,0.1640689089417555,0.1530054644808743,18.859922409057617,0.1084189957468981,en,0.7872816,0.6334958,0.5878501,0.5552927,0.7346837550281068,0.8546081219234972,0.6255333972423545,0.8476673364639282,0.703301578964377,0.4,0.775
preventive care and screening,1. Why deliver at a healthcare facility?,"Delivering at a healthcare facility ensures the safety of both mother and baby. Skilled staff and proper equipment allow early detection and management of complications, such as high blood pressure or bleeding, reducing the risk of serious problems during childbirth. Regular check-ups help monitor the health of mother and child, so any issues can be treated quickly for the best possible outcome.","स्वास्थ्य सेवा केंद्र में प्रसव कराने से माँ और बच्चे दोनों की सुरक्षा सुनिश्चित होती है। कुशल कर्मचारी और उचित उपकरण जटिलताओं का शीघ्र पता लगाने और उनका प्रबंधन करने में सक्षम होते हैं, जैसे कि उच्च रक्तचाप या रक्तस्राव, जिससे प्रसव के दौरान गंभीर समस्याओं का जोखिम कम हो जाता है। नियमित जांच से माँ और बच्चे के स्वास्थ्य की निगरानी करने में मदद मिलती है, ताकि किसी भी समस्या का तुरंत इलाज किया जा सके और सर्वोत्तम संभव परिणाम प्राप्त किया जा सके।","आरोग्यसेवा केंद्रात प्रसूती केल्याने आई आणि बाळ दोघांचीही सुरक्षितता सुनिश्चित होते. कुशल कर्मचारी आणि योग्य उपकरणे उच्च रक्तदाब किंवा रक्तस्त्राव यासारख्या गुंतागुंत लवकर ओळखण्यास आणि त्यांचे व्यवस्थापन करण्यास मदत करतात, ज्यामुळे बाळंतपणादरम्यान गंभीर समस्यांचा धोका कमी होतो. नियमित तपासणीमुळे आई आणि बाळाच्या आरोग्यावर लक्ष ठेवण्यास मदत होते, त्यामुळे सर्वोत्तम परिणामासाठी कोणत्याही समस्यांवर लवकर उपचार करता येतात.",https://pmc.ncbi.nlm.nih.gov/articles/PMC7599015/    https://pmc.ncbi.nlm.nih.gov/articles/PMC8606949/    https://wrayhospital.org/why-hospital-based-maternity-services-are-crucial/    https://data.unicef.org/topic/maternal-health/antenatal-care/    https://www.orangehealthcare.in/uncategorized/the-importance-of-antenatal-care-a-comprehensive-guide-for-expecting-mothers/ ,"Delivering at a healthcare facility, like a hospital or birthing center, ensures you have access to a team of medical professionals who are trained to handle various situations that may arise during labor and delivery. These facilities offer monitoring, pain management options, and emergency interventions if needed, making the process safer for both you and your baby. It's always best to discuss your birth plan with your doctor.",0.06861732746322,0.2363318540816794,0.1818181818181818,18.11924743652344,0.1622557877876937,en,0.8748815,0.7266815,0.57953644,0.7664648,0.8655485931712215,0.934945702296965,0.7861580992120669,0.8897483944892883,0.8029956142788222,0.4,1.0
clinical procedures and interventions,"1. How to prepare for the delivery at healthcare center?
","To prepare for delivery at a healthcare center, start by talking to your doctor ahead of time about where you will deliver and your delivery plan. Keep a hospital bag ready by your eighth or ninth month, packed with comfortable clothes, personal items, and any medicines you take. Learn about the signs of labor, such as regular contractions, water breaking, or bleeding, so you know when to leave for the hospital. Plan your transport in advance, including backup options, since getting to the hospital quickly can be difficult in rural areas. Discuss your plan with your family and local health worker so everyone knows what to do when labor starts. This preparation helps ensure a safer and less stressful delivery.","स्वास्थ्य सेवा केंद्र में प्रसव की तैयारी करने के लिए, अपने डॉक्टर से पहले ही बात करके शुरू करें कि आप कहाँ प्रसव करवाएँगी और आपकी प्रसव योजना क्या है। अपने आठवें या नौवें महीने तक अस्पताल का बैग तैयार रखें, जिसमें आरामदायक कपड़े, व्यक्तिगत सामान और आपके द्वारा ली जाने वाली कोई भी दवा हो। प्रसव के संकेतों के बारे में जानें, जैसे कि नियमित संकुचन, पानी का टूटना या रक्तस्राव, ताकि आपको पता हो कि अस्पताल के लिए कब निकलना है। अपने परिवहन की योजना पहले से बना लें, जिसमें बैकअप विकल्प भी शामिल हैं, क्योंकि ग्रामीण क्षेत्रों में अस्पताल जल्दी पहुँचना मुश्किल हो सकता है। अपने परिवार और स्थानीय स्वास्थ्य कार्यकर्ता के साथ अपनी योजना पर चर्चा करें ताकि सभी को पता हो कि प्रसव शुरू होने पर क्या करना है। यह तैयारी एक सुरक्षित और कम तनावपूर्ण प्रसव सुनिश्चित करने में मदद करती है।","आरोग्य केंद्रात प्रसूतीची तयारी करण्यासाठी, तुम्ही कुठे प्रसूती करणार आहात आणि तुमच्या प्रसूती योजनेबद्दल आधीच तुमच्या डॉक्टरांशी बोलून सुरुवात करा. आठव्या किंवा नवव्या महिन्यापर्यंत हॉस्पिटल बॅग तयार ठेवा, त्यात आरामदायी कपडे, वैयक्तिक वस्तू आणि तुम्ही घेत असलेल्या औषध व फाईल सोबत घ्यावे. नियमित आकुंचन, पाणी तुटणे किंवा रक्तस्त्राव यासारख्या प्रसूतीच्या लक्षणांबद्दल जाणून घ्यावे , जेणेकरून तुम्हाला रुग्णालयात कधी जायचे हे कळेल. ग्रामीण भागात लवकर रुग्णालयात पोहोचणे कठीण होऊ शकते म्हणून, तुमच्या वाहतुकीचे आधीच नियोजन करा, बॅकअप पर्यायांसह. तुमच्या कुटुंबाशी आणि स्थानिक आरोग्य कर्मचाऱ्याशी तुमच्या योजनेची चर्चा करा जेणेकरून प्रसूती चा त्रास सुरू झाल्यावर काय करावे हे सर्वांना कळेल. ही तयारी सुरक्षित आणि कमी तणावपूर्ण प्रसूती सुनिश्चित करण्यास मदत करते.",https://mehtahospital.com/obstetrics-and-gynaecology/hospital-bag-checklist/   https://share.upmc.com/2019/01/maternity-bag-packing-delivery/    https://www.whattoexpect.com/pregnancy/labor-signs    https://pmc.ncbi.nlm.nih.gov/articles/PMC6683396/  ,"To prepare for delivery at a healthcare center, pack a bag with essentials like comfortable clothing, toiletries, and items for your baby. Arrange for transportation and someone to be with you during labor. Discuss your birth plan with your healthcare provider and understand the center's policies. Remember, it's normal to feel anxious, so try relaxation techniques and stay informed about what to expect during the process. Always consult your doctor for personalized advice.",0.0933101036456437,0.2272000338354907,0.2871794871794871,31.988237380981445,0.2025632082202072,en,0.9310089,0.8172538,0.7677672,0.82832146,0.9168076028245848,0.937856715441645,0.8138125647378869,0.8931412696838379,0.8632461805430561,0.7,0.85
reproductive and sexual health,1. How to prepare for delivery at home?,"Home delivery is not advisable for any woman, even in rural or low-resource settings. It is safest to register at the nearest primary health center and stay in regular contact with your ASHA worker or local health staff. Delivering at a healthcare facility ensures skilled care and emergency support if any complications arise for you or your baby. If you still plan for a home delivery due to unavoidable reasons, make sure a trained nurse or dai is present, the room is clean, and emergency transport is ready. However, for your safety and your baby’s health, always try to deliver at a health center whenever possible.","ग्रामीण या कम संसाधन वाली जगहों पर भी किसी भी महिला के लिए घर पर प्रसव की सलाह नहीं दी जाती है। निकटतम प्राथमिक स्वास्थ्य केंद्र में पंजीकरण कराना और अपने आशा कार्यकर्ता या स्थानीय स्वास्थ्य कर्मचारियों के साथ नियमित संपर्क में रहना सबसे सुरक्षित है। स्वास्थ्य सेवा सुविधा में प्रसव कराने से आपको या आपके बच्चे को कोई जटिलता होने पर कुशल देखभाल और आपातकालीन सहायता सुनिश्चित होती है। यदि आप अपरिहार्य कारणों से घर पर प्रसव की योजना बनाते हैं, तो सुनिश्चित करें कि एक प्रशिक्षित नर्स या दाई मौजूद हो, कमरा साफ हो और आपातकालीन परिवहन तैयार हो। हालाँकि, अपनी सुरक्षा और अपने बच्चे के स्वास्थ्य के लिए, जब भी संभव हो, हमेशा स्वास्थ्य केंद्र में प्रसव कराने का प्रयास करें।","ग्रामीण किंवा कमी संसाधन असलेल्या कोणत्याही महिलेसाठी, घरी प्रसूती करणे योग्य नाही. जवळच्या प्राथमिक आरोग्य केंद्रात नोंदणी करणे आणि तुमच्या आशा कार्यकर्त्या किंवा स्थानिक आरोग्य कर्मचाऱ्यांशी नियमित संपर्कात राहणे सर्वात सुरक्षित आहे. आरोग्य सुविधा केंद्रात प्रसूती केल्याने तुमच्या किंवा तुमच्या बाळासाठी काही समस्या उद्भवल्यास  कुशल काळजी आणि आपत्कालीन मदत घेत येते . जर तुम्ही अजूनही अपरिहार्य कारणांमुळे घरी प्रसूतीची योजना आखत असाल, तर प्रशिक्षित परिचारिका किंवा दाई उपस्थित असल्याची खात्री करा, खोली स्वच्छ आहे आणि आपत्कालीन वाहतूक तयार आहे. तथापि, तुमच्या सुरक्षिततेसाठी आणि तुमच्या बाळाच्या आरोग्यासाठी, शक्य असेल तेव्हा नेहमीच आरोग्य केंद्रात प्रसूती करण्याचा प्रयत्न करा.",https://nhmmeghalaya.nic.in/guidelines/gfac.pdf   https://missingperspectives.com/posts/asha-frontline-workers-india/    https://www.newindianexpress.com/cities/chennai/2018/Aug/04/health-department-issues-warning-against-childbirth-at-home-1852974.html  ,"for a home delivery involves several important steps. First, ensure you have a clean, comfortable space with privacy. Gather necessary supplies like clean sheets, towels, a plastic sheet for the floor, and a bowl for catching the baby. Have a phone ready to call for emergency assistance if needed. It's crucial to have a skilled birth attendant or a trained professional like a midwife present. Always consult your healthcare provider for personalized advice and to discuss your birth plan.",0.0423131101249431,0.2269720413049727,0.1702127659574468,28.88239288330078,0.1464993057957876,en,0.7080101,0.6986434,0.73676455,0.673159,0.7456628476547017,0.8731671327170104,0.6839867507516866,0.8668621182441711,0.7482819758837759,0.9,0.6
